id	org	prod0	prod1	prod2	prod3	prod4	prod5	prod6	prod7	prod8	prod9	sales	daysLate
496	b	71	7	2	19	29	34	69	25	3	5	264	18
497	g	13	5	3	41	14	33	73	48	2	1	233	71
498	b	73	12	5	8	32	37	69	37	2	7	282	62
499	b	55	10	4	4	37	25	91	29	4	7	266	30
500	b	41	11	3	12	32	32	34	26	3	5	199	18
501	g	17	10	4	21	32	17	85	21	2	3	212	23
502	b	40	10	5	30	36	40	44	24	3	4	236	75
503	b	41	9	3	22	17	48	90	13	2	6	251	21
504	g	10	9	2	24	28	21	79	38	1	3	215	23
505	g	8	9	3	31	20	40	61	23	2	2	199	14
506	g	34	6	2	41	31	31	44	45	3	7	244	18
507	g	15	5	5	38	30	15	44	36	2	1	191	81
508	b	67	6	2	18	19	26	68	8	4	7	225	9
509	g	43	10	1	42	24	21	54	48	1	2	246	41
510	b	37	11	3	15	21	35	68	31	4	6	231	17
511	b	63	10	3	6	17	41	77	20	4	8	249	78
512	b	76	8	3	18	23	44	68	13	2	8	263	19
513	b	65	11	3	8	38	26	45	20	3	7	226	25
514	b	58	9	3	21	12	38	66	21	5	8	241	11
515	g	27	12	3	42	19	15	84	45	1	3	251	5
516	g	24	4	3	23	21	37	52	46	2	5	217	3
517	g	21	12	2	20	25	36	83	36	1	5	241	70
518	b	37	10	2	5	13	50	53	29	3	10	212	7
519	g	23	7	5	25	15	23	80	24	3	4	209	42
520	b	46	4	2	8	13	31	81	30	4	8	227	24
521	g	6	10	5	31	28	9	38	28	2	2	159	27
522	b	44	12	3	20	20	49	47	23	4	6	228	9
523	g	37	6	1	31	26	18	46	32	3	2	202	10
524	g	38	8	3	33	30	12	54	38	1	2	219	80
525	b	46	13	4	20	29	27	48	13	4	8	212	2
526	g	19	10	5	24	32	36	65	26	2	7	226	23
527	b	56	7	3	22	22	45	47	28	5	6	241	25
528	g	14	9	3	33	17	10	38	37	3	5	169	15
529	g	39	10	2	42	18	25	71	47	3	2	259	17
530	g	32	5	5	34	37	20	44	47	2	6	232	9
531	g	30	9	2	22	19	27	81	35	3	3	231	63
532	b	67	4	2	10	25	46	34	26	2	9	225	23
533	b	49	11	4	14	29	40	63	15	4	6	235	18
534	g	28	11	4	21	35	35	75	39	2	5	255	28
535	g	12	7	2	24	23	31	37	39	1	2	178	6
536	g	28	8	4	32	15	33	37	27	2	1	187	1
537	g	17	11	4	40	33	39	40	46	2	5	237	24
538	g	30	4	5	40	27	16	54	28	2	1	207	64
539	b	57	8	1	21	32	24	58	34	3	6	244	0
540	g	25	10	3	36	15	12	33	24	1	1	160	12
541	g	5	7	4	36	13	33	90	36	3	6	233	28
542	g	18	5	2	33	32	27	92	30	1	7	247	21
543	g	16	8	2	41	32	30	32	21	2	2	186	13
544	b	30	5	1	40	34	15	55	44	2	6	232	5
545	g	24	5	2	38	13	26	54	42	1	4	209	17
546	b	56	12	2	8	31	42	61	19	3	8	242	22
547	g	28	11	5	25	33	24	32	42	2	4	206	13
548	g	29	8	2	41	32	19	56	30	2	3	222	49
549	b	69	13	2	24	27	48	91	19	5	8	306	66
550	b	62	8	2	8	18	43	46	21	4	9	221	74
551	b	72	9	4	16	30	39	43	10	3	6	232	11
552	g	42	11	4	35	28	40	55	45	2	6	268	27
553	g	29	10	5	42	13	24	77	40	2	6	248	8
554	g	25	5	2	42	16	26	41	46	3	1	207	12
555	b	34	7	3	25	25	36	50	31	2	5	218	1
556	g	29	9	3	33	23	40	91	31	2	7	268	16
557	b	39	6	4	25	20	28	82	30	3	6	243	67
558	b	47	10	2	19	36	25	52	15	5	5	216	89
559	b	57	13	4	4	18	31	56	22	5	6	216	22
560	g	11	5	3	38	26	27	45	39	3	6	203	25
561	g	30	6	3	23	29	23	75	33	2	3	227	24
562	b	10	8	5	28	34	26	51	21	2	3	188	18
563	g	18	12	4	41	26	12	84	23	1	1	222	12
564	g	4	10	3	35	33	16	70	22	1	5	199	2
565	b	28	10	4	31	19	37	48	24	2	2	205	12
566	g	44	11	4	42	23	34	45	37	1	2	243	5
567	g	14	4	1	29	28	21	63	41	3	7	211	82
568	b	37	12	3	8	13	33	52	15	2	8	183	56
569	g	70	11	5	14	13	34	68	30	4	7	256	84
570	b	42	12	3	9	35	36	88	27	3	6	261	10
571	g	18	10	5	21	23	9	53	33	2	1	175	27
572	b	42	8	2	26	20	27	41	43	2	6	217	5
573	g	15	7	1	30	15	14	73	43	2	1	201	10
574	g	30	10	3	38	36	30	55	33	3	2	240	22
575	g	10	12	2	28	15	24	66	39	1	5	202	13
576	g	25	5	5	34	17	22	49	43	3	5	208	17
577	g	35	8	3	33	20	12	73	26	2	4	216	87
578	b	38	7	3	12	34	29	80	31	3	7	244	28
579	g	11	6	4	21	37	30	31	22	2	5	169	19
580	g	7	9	2	30	16	35	79	44	2	2	226	28
581	g	6	5	4	34	20	15	85	47	2	7	225	18
582	g	36	6	4	33	16	26	88	42	3	2	256	58
583	b	74	10	4	16	14	24	51	31	3	7	234	29
584	b	20	10	4	23	30	33	36	46	3	2	207	14
585	g	13	5	4	35	29	34	82	46	1	3	252	24
586	g	29	9	4	42	32	13	33	23	3	1	189	80
587	b	68	8	2	5	35	25	50	24	2	9	228	14
588	b	51	7	2	20	29	26	48	29	4	11	227	0
589	g	33	6	2	23	31	15	52	34	1	4	201	24
590	g	36	5	3	29	33	14	38	28	1	1	188	2
591	g	39	7	5	26	33	18	42	24	2	4	200	5
592	g	38	7	2	22	15	13	82	48	1	2	230	11
593	g	24	10	4	28	33	24	40	25	1	6	195	83
594	b	59	10	2	18	27	28	58	9	3	6	220	9
595	g	35	8	3	24	31	11	86	24	2	2	226	12
596	g	30	5	4	42	29	29	89	29	3	3	263	26
597	g	19	9	2	41	33	32	53	37	3	1	230	1
598	g	44	8	3	27	29	26	67	48	1	6	259	8
599	g	12	7	3	34	26	27	76	21	1	3	210	5
600	b	49	12	5	20	18	28	87	27	3	10	259	53
601	b	54	9	2	5	25	41	53	15	5	7	216	68
602	b	37	4	4	11	16	37	57	36	3	10	215	74
603	b	56	10	3	20	25	40	76	14	3	11	258	16
604	g	22	6	2	37	32	39	90	41	3	6	278	7
605	b	42	8	2	21	24	18	56	43	3	6	223	15
606	g	26	8	3	30	36	17	83	25	3	6	237	60
607	b	65	4	3	24	34	43	68	11	4	11	267	32
608	b	67	11	5	3	20	30	58	20	2	9	225	83
609	g	48	9	4	12	25	27	43	36	4	9	217	28
610	g	27	6	3	34	17	17	31	32	3	6	176	28
611	g	6	12	4	40	17	16	55	43	1	5	199	11
612	g	31	8	2	33	13	15	72	24	1	4	203	1
613	g	39	12	2	22	36	29	55	28	1	7	231	24
614	b	47	5	2	6	15	52	68	15	4	8	222	1
615	g	17	10	4	34	27	25	88	24	1	2	232	6
616	g	38	7	2	33	13	28	48	20	1	2	192	24
617	b	6	7	2	40	31	18	56	38	2	5	205	76
618	b	73	5	3	11	33	43	51	16	2	6	243	0
619	g	33	8	1	30	28	21	76	20	3	5	225	12
620	g	10	6	2	27	22	15	50	28	2	3	165	17
621	g	18	12	2	33	13	31	52	42	1	5	209	39
622	b	45	8	5	24	27	51	57	18	3	8	246	30
623	b	61	11	3	7	16	30	41	29	4	8	210	24
624	g	30	6	5	34	21	16	47	32	4	5	200	24
625	g	26	5	2	26	37	16	82	36	2	5	237	23
626	g	42	11	4	20	37	14	46	34	1	7	216	43
627	b	73	7	4	13	17	26	70	9	5	10	234	0
628	g	16	8	3	21	31	39	70	42	3	7	240	8
629	g	34	10	2	37	17	19	83	25	3	3	233	36
630	b	44	10	5	2	15	53	33	17	4	11	194	32
631	b	69	8	1	7	14	30	65	10	2	9	215	19
632	g	17	12	4	28	20	9	36	26	2	2	156	87
633	b	40	4	5	15	21	49	41	35	2	7	219	78
634	g	72	11	3	7	19	39	53	22	5	8	239	0
635	b	23	12	3	26	21	12	36	30	2	5	170	28
636	b	66	6	2	9	19	29	84	23	3	10	251	50
637	b	68	12	3	8	22	34	83	10	3	6	249	27
638	g	42	11	3	31	29	13	31	42	2	4	208	27
639	g	37	10	3	39	22	21	82	45	3	2	264	33
640	b	46	9	2	8	21	42	50	27	3	9	217	20
641	g	40	5	5	34	28	22	77	32	1	3	247	8
642	g	19	9	2	30	34	18	42	37	1	5	197	20
643	g	11	10	4	38	17	9	50	42	3	2	186	11
644	g	36	6	2	24	34	30	70	32	1	2	237	11
645	g	35	6	2	27	26	19	50	41	3	5	214	22
646	b	26	8	5	33	29	32	47	38	2	4	224	3
647	g	5	11	4	36	32	40	67	41	3	1	240	44
648	b	39	10	3	10	14	45	37	15	3	6	182	19
649	b	44	12	4	22	22	24	87	9	4	7	235	6
650	g	33	10	4	41	36	26	77	33	2	6	268	6
651	g	65	7	3	15	30	25	58	10	3	7	223	25
652	g	5	5	4	38	31	36	56	36	3	2	216	81
653	b	59	9	4	8	25	31	50	17	4	6	213	15
654	b	9	8	2	29	30	27	77	30	1	5	218	4
655	g	31	10	4	21	35	23	32	45	1	2	204	22
656	g	18	13	4	30	17	34	34	47	2	5	204	77
657	b	67	8	3	21	36	35	64	30	4	5	273	33
658	b	52	5	2	12	33	46	54	17	4	9	234	17
659	g	13	7	4	33	24	26	91	45	2	2	247	4
660	g	40	8	5	21	32	38	71	32	3	2	252	69
661	b	59	11	3	9	22	23	79	12	4	5	227	78
662	b	37	5	3	12	13	29	91	34	2	8	234	75
663	g	47	7	2	22	19	30	43	10	3	9	192	81
664	g	42	5	3	10	30	27	77	8	4	7	213	69
665	b	55	7	4	16	34	51	40	19	4	7	237	28
666	g	19	7	4	22	37	37	83	20	1	3	233	34
667	b	64	6	4	14	16	27	87	17	2	8	245	23
668	g	43	5	3	31	30	12	63	42	3	3	235	12
669	g	29	6	2	28	31	35	78	35	3	6	253	7
670	b	45	6	2	16	13	28	86	18	3	10	227	1
671	g	28	8	4	34	25	28	75	34	2	5	243	22
672	g	41	10	1	23	37	18	54	22	3	2	211	6
673	g	9	4	2	20	25	24	35	26	2	5	152	9
674	g	37	6	4	32	27	27	73	39	1	6	252	25
675	g	16	11	2	30	31	31	75	29	3	3	231	21
676	g	27	6	5	23	19	36	55	37	4	1	213	9
677	g	38	9	3	37	35	17	64	43	3	3	252	24
678	g	8	6	2	35	25	34	55	28	3	2	198	27
679	g	33	4	3	42	13	29	91	48	2	3	268	8
680	g	32	6	3	41	21	23	37	24	3	6	196	25
681	g	18	12	4	22	21	23	46	41	2	7	196	2
682	g	27	6	5	34	14	9	89	28	1	3	216	14
683	g	40	6	3	27	15	14	82	23	2	7	219	11
684	g	9	11	4	42	34	40	89	34	3	6	272	27
685	g	9	5	3	33	18	35	85	24	1	1	214	24
686	b	65	7	2	13	19	34	46	33	3	11	233	14
687	g	22	9	2	36	36	19	79	27	1	6	237	74
688	b	50	8	4	3	37	24	67	13	2	5	213	12
689	b	65	8	4	19	34	31	37	26	4	5	233	2
690	g	10	5	5	24	36	12	36	24	3	2	157	30
691	b	56	11	4	5	35	38	39	20	3	10	221	26
692	g	30	9	4	22	33	16	87	26	2	4	233	16
693	g	7	6	4	36	27	10	58	32	3	3	186	61
694	b	41	11	3	20	26	40	74	21	2	5	243	15
695	g	44	5	4	36	32	30	62	22	1	1	237	25
696	g	13	9	4	22	13	30	38	41	2	1	173	76
697	b	69	9	3	4	22	39	35	11	3	5	200	25
698	b	53	12	5	3	32	52	49	28	3	8	245	0
699	g	36	9	4	27	13	10	83	36	2	6	226	1
700	g	43	8	3	34	15	34	62	44	3	5	251	12
701	g	11	7	2	24	26	22	47	39	3	4	185	1
702	g	20	9	3	26	15	32	65	22	3	5	200	22
703	g	44	10	2	29	15	32	71	22	2	6	233	13
704	g	42	7	3	35	23	32	86	47	3	5	283	25
705	g	4	10	1	41	31	14	41	23	3	7	175	3
706	g	28	8	1	41	31	36	87	34	3	6	275	29
707	g	35	9	4	40	16	19	60	36	3	5	227	11
708	g	9	10	4	24	16	30	64	45	2	2	206	87
709	b	54	11	4	13	15	51	49	11	2	6	216	10
710	g	32	12	4	29	36	20	78	35	2	5	253	6
711	g	31	12	3	22	17	12	92	22	1	4	216	14
712	b	18	8	3	24	28	12	36	29	1	6	165	23
713	g	33	7	5	37	29	22	37	44	2	4	220	15
714	g	18	6	2	36	32	24	51	22	3	3	197	20
715	g	12	8	5	35	25	18	39	42	3	1	188	12
716	b	69	5	4	5	21	37	37	35	4	5	222	22
717	g	31	6	1	30	33	22	37	27	3	3	193	66
718	b	73	6	5	5	18	51	63	14	5	6	246	25
719	g	29	7	4	25	15	35	34	22	1	3	175	10
720	g	37	10	3	37	36	32	87	39	2	5	288	3
721	g	13	5	2	20	32	16	73	36	3	2	202	23
722	b	75	9	2	3	28	41	36	35	3	8	240	24
723	g	19	6	3	42	21	40	92	48	3	4	278	0
724	g	20	7	3	37	17	18	34	40	2	4	182	20
725	g	34	12	5	34	25	23	67	39	2	6	247	45
726	b	52	8	5	13	33	39	36	21	4	6	217	36
727	b	49	8	2	21	28	31	47	34	4	5	229	59
728	g	63	7	3	24	20	52	58	17	2	10	256	0
729	b	60	12	5	21	34	50	67	19	3	6	277	24
730	b	53	10	2	13	26	25	46	10	3	7	195	14
731	g	30	10	4	23	28	14	92	41	3	6	251	13
732	b	55	4	3	9	17	28	32	13	2	9	172	27
733	b	66	11	4	8	30	50	87	14	4	8	282	28
734	g	20	10	5	28	24	10	81	47	0	3	228	56
735	b	56	12	4	22	37	24	46	24	3	8	236	12
736	g	39	12	2	27	36	22	68	44	3	7	260	23
737	g	32	5	3	24	16	15	55	21	3	5	179	87
738	b	77	10	2	10	29	36	91	33	4	9	301	34
739	b	48	11	5	20	22	43	74	10	3	10	246	23
740	g	39	12	2	21	37	21	41	23	3	3	202	6
741	g	44	10	2	27	21	28	55	32	3	1	223	26
742	g	24	6	4	29	37	30	34	31	2	1	198	16
743	g	21	8	4	32	23	39	32	45	3	2	209	27
744	g	41	5	2	42	15	13	75	38	1	3	235	0
745	g	23	12	4	24	22	15	38	40	1	4	183	73
746	b	58	11	1	18	20	35	74	26	3	5	251	10
747	b	40	7	4	23	33	43	66	28	2	6	252	29
748	g	43	13	5	35	22	19	63	21	3	3	227	27
749	g	7	7	4	30	15	39	71	35	2	3	213	4
750	g	30	8	5	40	24	35	52	26	2	7	229	9
751	g	33	8	2	33	14	13	45	30	1	4	183	32
752	b	37	8	2	8	21	43	54	28	3	10	214	3
753	g	13	4	3	23	27	12	89	40	1	6	218	22
754	b	7	6	3	42	27	21	39	29	2	2	178	9
755	g	12	12	4	39	15	33	43	35	1	5	199	35
756	b	70	6	2	10	13	35	39	18	4	10	207	73
757	b	70	8	3	7	23	53	70	9	5	9	257	24
758	g	16	8	1	38	24	33	51	40	2	3	216	25
759	g	9	10	2	37	14	13	48	21	2	7	163	5
760	g	20	7	3	25	36	15	79	29	0	2	216	24
761	g	12	8	4	32	28	39	55	32	1	2	213	24
762	b	21	9	3	28	19	34	90	47	3	6	260	24
763	g	41	6	3	26	29	27	31	35	1	6	205	19
764	g	19	6	4	41	18	28	69	43	3	6	237	4
765	g	39	4	3	35	31	29	32	27	3	2	205	8
766	g	13	10	4	36	17	26	91	20	3	2	222	9
767	g	43	5	2	23	23	14	61	33	1	2	207	14
768	b	73	4	4	20	33	36	57	14	3	7	251	29
769	g	14	5	2	40	30	24	79	48	3	6	251	24
770	g	43	8	2	42	34	13	62	24	1	4	233	3
771	g	25	5	2	24	22	35	88	23	2	5	231	7
772	b	58	6	2	6	37	37	74	22	3	8	253	57
773	b	60	11	2	11	26	48	58	27	4	10	257	0
774	g	17	7	3	22	26	16	69	43	3	7	213	21
775	b	58	5	3	14	36	30	40	36	4	7	233	24
776	g	32	6	4	35	29	39	50	46	2	7	250	24
777	b	64	4	4	14	20	37	39	10	2	7	201	3
778	g	20	6	2	25	35	15	31	34	2	2	172	7
779	g	10	6	2	33	16	24	68	38	1	6	204	5
780	b	46	6	2	9	14	38	37	31	4	10	197	86
781	b	58	5	4	15	38	35	33	25	2	11	226	15
782	g	8	9	3	28	16	35	47	37	2	5	190	30
783	b	39	10	2	19	30	49	75	30	3	11	268	5
784	g	23	8	4	42	30	10	55	30	1	2	205	10
785	g	19	10	2	20	25	32	48	42	2	6	206	5
786	g	37	4	3	30	23	39	81	23	2	2	244	10
787	b	33	9	2	27	22	16	60	34	2	6	211	41
788	g	61	11	2	19	19	42	51	36	3	5	249	13
789	b	12	12	2	28	30	25	87	29	2	6	233	14
790	g	8	9	2	22	28	38	69	39	1	3	219	11
791	g	35	5	5	22	15	37	75	38	3	3	238	13
792	g	23	6	3	21	21	37	68	33	2	6	220	22
793	g	34	9	5	40	17	14	60	29	1	3	212	74
794	b	59	10	3	20	29	34	43	25	2	7	232	19
795	g	39	7	4	34	36	25	57	40	3	3	248	2
796	g	40	9	2	23	26	38	87	42	1	4	272	16
797	b	44	5	4	23	23	44	84	18	2	7	254	15
798	g	14	10	4	30	22	36	66	47	3	3	235	14
799	g	14	12	3	36	13	21	91	23	2	5	220	14
800	g	43	11	3	8	31	47	42	25	4	7	221	7
801	g	16	12	2	38	16	30	41	22	1	1	179	21
802	b	26	6	2	35	18	14	44	35	3	4	187	27
803	g	41	10	4	34	14	27	51	31	1	4	217	25
804	g	27	12	5	21	22	33	65	42	3	4	234	42
805	b	68	10	2	14	18	24	32	28	4	8	208	27
806	g	41	11	4	32	32	25	45	25	0	3	218	8
807	g	11	13	3	40	26	10	55	37	1	5	201	10
808	g	33	5	4	30	14	11	62	30	3	2	194	3
809	g	41	12	3	41	33	16	54	21	3	4	228	21
810	g	16	5	5	21	37	16	31	37	3	3	174	41
811	b	75	9	1	7	20	23	38	16	2	10	201	2
812	g	14	9	4	39	24	10	70	34	1	3	208	21
813	g	4	12	3	30	37	26	82	46	3	4	247	79
814	b	71	6	5	20	12	47	58	19	5	11	254	27
815	g	15	4	2	34	18	33	37	39	2	3	187	25
816	g	9	5	2	35	33	16	40	30	1	4	175	21
817	g	34	9	4	42	36	23	36	46	2	2	234	60
818	b	54	5	2	21	28	31	45	32	4	10	232	19
819	g	34	11	2	20	15	31	78	47	1	5	244	21
820	g	33	9	4	33	38	30	75	32	2	3	259	53
821	g	37	11	1	6	27	31	82	34	3	10	242	3
822	g	6	12	4	32	17	36	91	23	3	1	225	65
823	b	60	8	4	18	22	34	48	22	2	9	227	0
824	b	43	9	5	13	32	26	71	36	3	10	248	87
825	b	66	5	3	10	34	45	54	34	4	10	265	64
826	b	75	8	3	16	19	30	92	16	2	6	267	82
827	b	36	7	4	19	34	43	83	37	4	8	275	10
828	g	36	11	2	23	26	24	52	40	1	3	218	66
829	b	37	10	3	7	30	44	82	14	4	5	236	54
830	b	51	5	4	13	14	40	36	22	3	9	197	18
831	g	44	7	3	32	22	20	42	32	3	5	210	12
832	g	37	8	2	39	36	12	53	28	1	4	220	6
833	g	37	5	5	37	30	29	63	31	3	6	246	10
834	b	39	4	3	33	20	16	81	38	3	4	241	18
835	b	52	6	5	24	34	48	90	15	4	9	287	11
836	g	14	12	4	38	29	16	84	45	3	7	252	57
837	b	47	7	3	2	13	49	89	25	5	8	248	24
838	g	7	9	2	34	15	12	77	47	3	5	211	10
839	g	6	6	2	23	28	24	88	38	3	2	220	27
840	g	39	10	2	39	19	36	92	46	3	2	288	84
841	b	37	9	2	8	22	48	73	35	2	9	245	22
842	g	35	9	2	22	23	32	38	35	2	4	202	2
843	g	30	10	2	34	32	28	74	32	3	1	246	1
844	g	34	11	4	29	36	35	68	25	3	6	251	3
845	b	6	12	2	23	36	11	84	43	3	2	222	8
846	b	42	12	3	13	20	43	51	19	2	8	213	12
847	g	9	11	5	39	26	39	61	20	3	5	218	18
848	g	32	10	3	36	22	37	50	26	3	6	225	89
849	b	61	10	4	17	17	38	86	36	4	5	278	1
850	g	25	9	4	24	13	34	79	20	3	7	218	3
851	g	42	5	4	29	30	38	61	29	3	4	245	4
852	g	28	11	4	35	28	40	89	45	3	4	287	1
853	b	56	7	1	14	34	44	40	25	2	10	233	54
854	g	59	11	4	12	38	34	81	20	3	11	273	67
855	b	66	8	4	12	33	24	53	9	5	5	219	49
856	b	47	10	3	15	33	36	63	14	3	7	231	14
857	b	33	5	3	27	25	15	52	41	1	2	204	74
858	b	41	9	3	18	25	41	46	33	5	5	226	0
859	g	39	11	2	41	17	38	38	23	3	7	219	7
860	g	29	5	1	29	15	11	82	26	1	5	204	9
861	g	8	13	4	42	18	10	78	43	3	2	221	8
862	g	12	13	2	23	28	22	68	48	2	6	224	6
863	g	14	6	4	40	32	23	66	44	3	2	234	75
864	b	51	10	5	4	22	42	78	30	2	9	253	5
865	b	39	7	4	23	35	36	32	23	2	6	207	11
866	g	27	6	2	33	21	22	63	45	3	2	224	2
867	g	43	6	4	30	26	19	89	28	3	3	251	8
868	g	44	9	4	30	31	9	43	30	1	5	206	19
869	g	32	10	5	31	29	30	58	28	1	3	227	10
870	g	41	10	2	34	30	27	86	45	2	4	281	24
871	g	43	12	3	29	26	36	46	34	1	7	237	22
872	g	10	8	5	26	25	29	48	46	2	5	204	23
873	g	34	5	4	27	22	34	79	30	3	1	239	12
874	g	40	12	4	28	29	40	90	23	3	4	273	27
875	b	69	4	4	17	14	42	80	31	2	10	273	37
876	b	72	7	5	5	19	44	81	12	4	9	258	19
877	b	62	7	4	4	37	35	58	16	4	10	237	0
878	b	9	8	3	25	21	19	53	42	1	3	184	17
879	g	11	10	3	23	20	28	67	29	2	1	194	14
880	g	35	12	3	38	33	34	80	48	3	2	288	17
881	g	11	5	4	21	15	27	70	24	3	4	184	47
882	b	47	8	2	8	31	30	81	34	5	7	253	22
883	g	22	5	4	37	31	27	80	37	1	4	248	65
884	b	51	10	3	18	13	45	88	18	2	7	255	0
885	g	26	10	5	32	31	24	41	41	1	4	215	17
886	g	25	5	3	36	17	22	78	25	1	7	219	42
887	b	69	4	3	12	21	37	55	14	4	7	226	8
888	g	15	9	2	40	22	31	63	20	4	7	213	28
889	g	10	8	2	41	18	35	65	25	1	4	209	27
890	g	12	7	4	32	17	29	64	23	1	7	196	65
891	b	65	7	4	22	34	38	68	32	4	7	281	81
892	b	75	11	4	3	27	48	63	17	3	7	258	15
893	g	22	10	3	24	15	24	35	33	1	2	169	20
894	g	21	11	3	26	13	39	69	41	1	2	226	50
895	b	49	8	3	12	13	28	88	21	3	9	234	22
896	g	37	8	4	35	16	23	48	26	2	6	205	5
897	g	12	6	4	33	16	9	55	29	2	3	169	2
898	g	38	4	2	36	32	16	92	24	3	1	248	24
899	b	64	9	2	18	36	44	72	30	4	6	285	22
900	g	21	8	3	34	14	22	49	43	1	1	196	17
901	g	13	5	3	23	21	39	59	40	2	3	208	21
902	g	41	9	2	18	23	40	85	28	4	6	256	50
903	b	60	11	5	9	29	42	58	15	4	10	243	13
904	g	40	12	2	29	25	31	51	31	3	1	225	38
905	b	62	4	1	16	34	23	55	13	4	8	220	55
906	b	51	8	2	21	13	22	45	35	2	6	205	6
907	g	6	10	5	27	33	23	90	20	1	2	217	25
908	g	21	11	5	31	13	25	42	26	2	5	181	3
909	g	30	11	3	26	12	11	71	21	1	3	189	12
910	b	76	8	5	20	24	42	77	21	3	5	281	17
911	g	26	7	5	38	21	19	32	39	2	1	190	42
912	b	40	12	4	7	31	48	55	22	5	10	234	18
913	g	14	6	3	28	34	14	85	24	3	2	213	0
914	g	24	12	4	32	29	35	53	40	2	3	234	20
915	g	34	9	4	25	29	28	73	25	3	6	236	82
916	b	39	7	5	14	36	41	70	12	3	5	232	13
917	b	27	4	4	38	21	18	90	25	1	6	234	24
918	g	22	7	4	30	20	31	54	36	1	6	211	29
919	g	34	5	3	35	26	30	89	38	2	4	266	12
920	g	33	13	4	23	17	15	46	26	1	6	184	65
921	b	38	11	4	5	16	27	56	16	3	8	184	19
922	g	7	11	3	34	24	17	82	25	3	2	208	13
923	b	44	4	3	24	24	47	53	27	4	6	236	9
924	g	26	12	4	25	18	22	64	47	2	6	226	28
925	g	39	6	3	25	30	24	90	37	3	3	260	23
926	g	38	12	1	24	34	36	73	36	2	7	263	25
927	g	16	12	4	22	37	36	62	45	3	7	244	10
928	g	42	10	5	30	22	12	66	42	1	6	236	29
929	g	7	6	4	40	26	19	37	21	2	3	165	21
930	g	36	10	3	35	17	23	83	47	2	3	259	0
931	g	7	11	4	33	27	24	37	27	2	1	173	9
932	g	37	8	2	39	15	39	79	31	2	2	254	13
933	b	53	11	3	12	34	51	77	32	5	6	284	16
934	b	8	13	2	31	18	29	45	31	3	4	184	4
935	g	9	10	3	22	34	12	57	32	1	6	186	22
936	b	37	6	2	20	34	24	53	25	4	7	212	30
937	b	58	10	5	15	17	39	67	17	3	6	237	11
938	g	39	6	5	36	36	31	52	39	3	3	250	64
939	b	70	4	4	13	18	35	38	27	2	10	221	48
940	b	75	5	2	17	30	48	58	26	3	5	269	28
941	g	35	6	2	20	24	39	59	33	1	5	224	29
942	g	13	10	3	30	21	25	38	34	2	6	182	24
943	b	30	12	3	23	25	25	62	41	2	7	230	27
944	b	67	10	5	13	12	25	66	35	3	6	242	85
945	b	75	9	4	4	30	23	31	12	5	10	203	20
946	g	8	5	4	23	25	39	85	28	1	4	222	2
947	g	15	11	2	35	26	37	50	44	2	5	227	5
948	b	72	10	1	20	37	24	78	18	4	9	273	23
949	b	10	8	5	25	28	17	66	23	3	5	190	78
950	g	66	4	3	7	25	23	80	32	3	10	253	14
951	g	17	11	1	27	26	32	31	29	1	4	179	19
952	g	10	7	4	31	31	28	57	24	1	6	199	79
953	b	60	9	4	15	16	34	69	29	4	7	247	29
954	g	33	9	3	40	19	19	40	25	1	4	193	63
955	b	44	10	2	4	20	37	56	13	4	5	195	20
956	g	29	7	5	35	20	31	70	35	1	5	238	28
957	b	69	7	2	20	19	49	75	31	3	6	281	22
958	g	34	7	4	36	30	31	41	28	1	4	216	0
959	g	5	7	3	22	24	32	48	27	3	4	175	5
960	g	23	9	3	26	31	34	83	29	1	7	246	28
961	g	43	12	2	25	27	12	62	29	3	6	221	0
962	g	27	7	4	27	30	17	63	26	2	3	206	5
963	g	9	11	4	26	24	39	88	40	1	2	244	1
964	g	7	5	5	22	21	11	82	27	3	4	187	14
965	g	35	9	4	27	36	39	44	31	2	6	233	8
966	g	15	9	5	25	21	16	58	44	1	3	197	55
967	b	45	5	2	14	21	45	35	11	3	10	191	59
968	b	43	5	5	5	15	46	61	21	3	6	210	18
969	g	24	8	2	23	34	31	85	48	3	3	261	8
970	g	9	5	2	40	13	33	39	39	3	3	186	42
971	b	39	10	1	8	37	47	71	13	5	6	237	19
972	g	9	9	2	26	35	12	82	22	3	6	206	28
973	g	10	11	5	41	14	10	91	39	0	2	223	18
974	g	42	9	2	28	20	31	45	42	2	1	222	0
975	g	38	10	4	21	22	12	35	37	0	5	184	22
976	g	20	9	4	35	15	30	40	30	2	5	190	87
977	b	57	4	3	2	26	51	60	27	5	7	242	39
978	b	39	13	3	15	14	35	89	20	3	9	240	21
979	b	41	4	4	20	31	39	43	28	3	6	219	27
980	g	17	6	2	25	15	40	60	29	3	4	201	27
981	g	34	9	3	24	33	19	47	26	2	5	202	9
982	g	37	5	3	36	33	13	64	44	2	5	242	5
983	g	5	13	2	30	27	16	44	43	1	4	185	60
984	b	62	11	4	3	28	50	65	10	4	6	243	1
985	g	5	6	4	38	23	38	68	45	1	5	233	23
986	g	14	6	2	27	20	21	52	35	2	2	181	3
987	g	19	8	2	34	35	17	87	39	3	1	245	3
988	g	6	10	4	23	20	37	92	28	1	2	223	8
989	g	5	7	4	21	30	15	86	44	3	2	217	19
990	g	5	9	5	41	22	40	91	21	1	5	240	24
991	b	29	9	2	40	32	35	41	25	3	7	223	19
992	g	16	8	2	29	27	20	60	40	2	4	208	2
993	g	12	8	2	41	35	16	42	46	2	3	207	17
